Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_003,Easy,OMP-Frontier,4,1,0.010661747,1
easy_003,Easy,OMP-Frontier,4,2,0.010187303,1
easy_003,Easy,OMP-Frontier,4,3,0.009936570,1
easy_003,Easy,OMP-Frontier,4,4,0.010242216,1
easy_003,Easy,OMP-Frontier,4,5,0.010223004,1
easy_003,Easy,OMP-Frontier,8,1,0.009956293,1
easy_003,Easy,OMP-Frontier,8,2,0.009827765,1
easy_003,Easy,OMP-Frontier,8,3,0.009831539,1
easy_003,Easy,OMP-Frontier,8,4,0.010158610,1
easy_003,Easy,OMP-Frontier,8,5,0.009788814,1
easy_003,Easy,OMP-Frontier,16,1,0.010680759,1
easy_003,Easy,OMP-Frontier,16,2,0.009907925,1
easy_003,Easy,OMP-Frontier,16,3,0.009879185,1
easy_003,Easy,OMP-Frontier,16,4,0.009843460,1
easy_003,Easy,OMP-Frontier,16,5,0.009854943,1
easy_003,Easy,OpenMP,4,1,0.006446049,1
easy_003,Easy,OpenMP,4,2,0.006335271,1
easy_003,Easy,OpenMP,4,3,0.006325066,1
easy_003,Easy,OpenMP,4,4,0.006403590,1
easy_003,Easy,OpenMP,4,5,0.006491662,1
easy_003,Easy,OpenMP,8,1,0.006600060,1
easy_003,Easy,OpenMP,8,2,0.006435644,1
easy_003,Easy,OpenMP,8,3,0.006427788,1
easy_003,Easy,OpenMP,8,4,0.006416124,1
easy_003,Easy,OpenMP,8,5,0.006747226,1
easy_003,Easy,OpenMP,16,1,0.006839904,1
easy_003,Easy,OpenMP,16,2,0.006497198,1
easy_003,Easy,OpenMP,16,3,0.006517805,1
easy_003,Easy,OpenMP,16,4,0.006417366,1
easy_003,Easy,OpenMP,16,5,0.006568994,1
easy_004,Easy,Serial,1,1,0.007795206,1
easy_004,Easy,Serial,1,2,0.007124699,1
easy_004,Easy,Serial,1,3,0.007106201,1
easy_004,Easy,Serial,1,4,0.007120944,1
easy_004,Easy,Serial,1,5,0.007125446,1
easy_004,Easy,Serial-MRV,1,1,0.004323119,1
easy_004,Easy,Serial-MRV,1,2,0.004321264,1
easy_004,Easy,Serial-MRV,1,3,0.004297970,1
easy_004,Easy,Serial-MRV,1,4,0.004320380,1
easy_004,Easy,Serial-MRV,1,5,0.004299418,1
easy_004,Easy,DLX,1,1,0.000380346,1
easy_004,Easy,DLX,1,2,0.000290048,1
easy_004,Easy,DLX,1,3,0.000281104,1
easy_004,Easy,DLX,1,4,0.000280223,1
easy_004,Easy,DLX,1,5,0.000286481,1
easy_004,Easy,DLX-OMP,4,1,0.000977912,1
easy_004,Easy,DLX-OMP,4,2,0.000510315,1
easy_004,Easy,DLX-OMP,4,3,0.000617652,1
easy_004,Easy,DLX-OMP,4,4,0.000626086,1
easy_004,Easy,DLX-OMP,4,5,0.000497521,1
easy_004,Easy,DLX-OMP,8,1,0.001094743,1
easy_004,Easy,DLX-OMP,8,2,0.001516260,1
easy_004,Easy,DLX-OMP,8,3,0.000504382,1
easy_004,Easy,DLX-OMP,8,4,0.000523244,1
easy_004,Easy,DLX-OMP,8,5,0.000605329,1
easy_004,Easy,DLX-OMP,16,1,0.001634416,1
easy_004,Easy,DLX-OMP,16,2,0.001470487,1
easy_004,Easy,DLX-OMP,16,3,0.000514687,1
easy_004,Easy,DLX-OMP,16,4,0.001124468,1
easy_004,Easy,DLX-OMP,16,5,0.000543457,1
easy_004,Easy,OMP-Frontier,4,1,0.006759621,1
easy_004,Easy,OMP-Frontier,4,2,0.006948775,1
easy_004,Easy,OMP-Frontier,4,3,0.006594053,1
easy_004,Easy,OMP-Frontier,4,4,0.006593239,1
easy_004,Easy,OMP-Frontier,4,5,0.006561322,1
easy_004,Easy,OMP-Frontier,8,1,0.006734441,1
easy_004,Easy,OMP-Frontier,8,2,0.006640373,1
easy_004,Easy,OMP-Frontier,8,3,0.006606311,1
easy_004,Easy,OMP-Frontier,8,4,0.006612157,1
easy_004,Easy,OMP-Frontier,8,5,0.006642352,1
easy_004,Easy,OMP-Frontier,16,1,0.007033607,1
easy_004,Easy,OMP-Frontier,16,2,0.006718066,1
easy_004,Easy,OMP-Frontier,16,3,0.006756901,1
easy_004,Easy,OMP-Frontier,16,4,0.006691593,1
easy_004,Easy,OMP-Frontier,16,5,0.006806475,1
easy_004,Easy,OpenMP,4,1,0.004570939,1
easy_004,Easy,OpenMP,4,2,0.004401967,1
easy_004,Easy,OpenMP,4,3,0.004399517,1
easy_004,Easy,OpenMP,4,4,0.004403068,1
easy_004,Easy,OpenMP,4,5,0.004368855,1
easy_004,Easy,OpenMP,8,1,0.004587747,1
easy_004,Easy,OpenMP,8,2,0.004426828,1
easy_004,Easy,OpenMP,8,3,0.004479616,1
easy_004,Easy,OpenMP,8,4,0.004779499,1
easy_004,Easy,OpenMP,8,5,0.004395813,1
easy_004,Easy,OpenMP,16,1,0.005108982,1
easy_004,Easy,OpenMP,16,2,0.004512905,1
easy_004,Easy,OpenMP,16,3,0.004533075,1
easy_004,Easy,OpenMP,16,4,0.004503721,1
easy_004,Easy,OpenMP,16,5,0.004561270,1
easy_005,Easy,Serial,1,1,0.001517992,1
easy_005,Easy,Serial,1,2,0.001508494,1
easy_005,Easy,Serial,1,3,0.001523111,1
easy_005,Easy,Serial,1,4,0.001484220,1
easy_005,Easy,Serial,1,5,0.001507002,1
easy_005,Easy,Serial-MRV,1,1,0.005611296,1
easy_005,Easy,Serial-MRV,1,2,0.005647474,1
easy_005,Easy,Serial-MRV,1,3,0.005638704,1
easy_005,Easy,Serial-MRV,1,4,0.005651372,1
easy_005,Easy,Serial-MRV,1,5,0.005630708,1
easy_005,Easy,DLX,1,1,0.000288700,1
easy_005,Easy,DLX,1,2,0.000292250,1
easy_005,Easy,DLX,1,3,0.000279766,1
easy_005,Easy,DLX,1,4,0.000279746,1
easy_005,Easy,DLX,1,5,0.000303621,1
easy_005,Easy,DLX-OMP,4,1,0.000604371,1
easy_005,Easy,DLX-OMP,4,2,0.000550298,1
easy_005,Easy,DLX-OMP,4,3,0.000510416,1
easy_005,Easy,DLX-OMP,4,4,0.000518515,1
easy_005,Easy,DLX-OMP,4,5,0.000495569,1
easy_005,Easy,DLX-OMP,8,1,0.000618164,1
easy_005,Easy,DLX-OMP,8,2,0.000520951,1
easy_005,Easy,DLX-OMP,8,3,0.000500788,1
easy_005,Easy,DLX-OMP,8,4,0.000533749,1
easy_005,Easy,DLX-OMP,8,5,0.001002567,1
easy_005,Easy,DLX-OMP,16,1,0.001398417,1
easy_005,Easy,DLX-OMP,16,2,0.000547816,1
easy_005,Easy,DLX-OMP,16,3,0.000514618,1
easy_005,Easy,DLX-OMP,16,4,0.000534143,1
easy_005,Easy,DLX-OMP,16,5,0.000506324,1
easy_005,Easy,OMP-Frontier,4,1,0.008515668,1
easy_005,Easy,OMP-Frontier,4,2,0.008349822,1
easy_005,Easy,OMP-Frontier,4,3,0.008348187,1
easy_005,Easy,OMP-Frontier,4,4,0.008367353,1
easy_005,Easy,OMP-Frontier,4,5,0.008380411,1
easy_005,Easy,OMP-Frontier,8,1,0.008915793,1
easy_005,Easy,OMP-Frontier,8,2,0.008425433,1
easy_005,Easy,OMP-Frontier,8,3,0.008458992,1
easy_005,Easy,OMP-Frontier,8,4,0.008420791,1
easy_005,Easy,OMP-Frontier,8,5,0.008430910,1
easy_005,Easy,OMP-Frontier,16,1,0.009244756,1
easy_005,Easy,OMP-Frontier,16,2,0.008613046,1
easy_005,Easy,OMP-Frontier,16,3,0.008477920,1
easy_005,Easy,OMP-Frontier,16,4,0.008570841,1
easy_005,Easy,OMP-Frontier,16,5,0.008483841,1
easy_005,Easy,OpenMP,4,1,0.005921013,1
easy_005,Easy,OpenMP,4,2,0.005684303,1
easy_005,Easy,OpenMP,4,3,0.005776520,1
easy_005,Easy,OpenMP,4,4,0.005694522,1
easy_005,Easy,OpenMP,4,5,0.005678383,1
easy_005,Easy,OpenMP,8,1,0.005945271,1
easy_005,Easy,OpenMP,8,2,0.005890729,1
easy_005,Easy,OpenMP,8,3,0.006144494,1
easy_005,Easy,OpenMP,8,4,0.005788607,1
easy_005,Easy,OpenMP,8,5,0.005780701,1
easy_005,Easy,OpenMP,16,1,0.006243802,1
easy_005,Easy,OpenMP,16,2,0.005877967,1
easy_005,Easy,OpenMP,16,3,0.005892180,1
easy_005,Easy,OpenMP,16,4,0.005781628,1
easy_005,Easy,OpenMP,16,5,0.005909961,1
easy_006,Easy,Serial,1,1,0.005118537,1
easy_006,Easy,Serial,1,2,0.004967213,1
easy_006,Easy,Serial,1,3,0.005002179,1
easy_006,Easy,Serial,1,4,0.005019790,1
easy_006,Easy,Serial,1,5,0.005039659,1
easy_006,Easy,Serial-MRV,1,1,0.006197442,1
easy_006,Easy,Serial-MRV,1,2,0.006229776,1
easy_006,Easy,Serial-MRV,1,3,0.006227146,1
easy_006,Easy,Serial-MRV,1,4,0.006206502,1
easy_006,Easy,Serial-MRV,1,5,0.006219521,1
easy_006,Easy,DLX,1,1,0.000290886,1
easy_006,Easy,DLX,1,2,0.000286841,1
easy_006,Easy,DLX,1,3,0.000281822,1
easy_006,Easy,DLX,1,4,0.000287712,1
easy_006,Easy,DLX,1,5,0.000280304,1
easy_006,Easy,DLX-OMP,4,1,0.000651909,1
easy_006,Easy,DLX-OMP,4,2,0.000523334,1
easy_006,Easy,DLX-OMP,4,3,0.000520974,1
easy_006,Easy,DLX-OMP,4,4,0.000508470,1
easy_006,Easy,DLX-OMP,4,5,0.000519530,1
easy_006,Easy,DLX-OMP,8,1,0.000638283,1
easy_006,Easy,DLX-OMP,8,2,0.000498261,1
